"id","title","content","pub_date","source_url","category"
"1851173569","Microsoft, Google, Salesforce, and more: 2024 starts with tech layoffs already set to surpass last year","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/cc77853c21f262c97bfa16534d527fde.jpg"" /><p>There have been <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/tech-layoffs-might-surpass-2023-1851198088"" rel=""noopener noreferrer"" target=""_blank"">more than 24,000 layoffs in the tech industry</a> in just the first few weeks of 2024. The total number of<a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/tech-layoffs-might-surpass-2023-1851198088"" rel=""noopener noreferrer"" target=""_blank""> job cuts doubled this week alone</a>, squashing hopes for an end to <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/from-overhiring-to-optionality-what-we-can-learn-from-1850267076"" rel=""noopener noreferrer"" target=""_blank"">last year’s doom and gloom in tech</a>.</p><p><a href=""https://qz.com/google-amazon-apple-tech-layoffs-1851173569"">Read more...</a></p>","2024-01-27 01:07:00","https://qz.com/google-amazon-apple-tech-layoffs-1851173569","Others"
"1851177985","2024's most powerful passports ranked","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/88de51e230776489259a014e629a925f.jpg"" /><p>Japan and Singapore enjoyed the shared distinction of <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/most-powerful-passports-2023-ranking-1850024908"" rel=""noopener noreferrer"" target=""_blank"">having the most powerful passports in the world</a> since 2019. But they’re not alone anymore. </p><p><a href=""https://qz.com/most-powerful-passports-2024-world-rankings-1851177985"">Read more...</a></p>","2024-01-25 02:58:31","https://qz.com/most-powerful-passports-2024-world-rankings-1851177985","Others"
"1851183984","🌎 Electric trucks don’t have that spark","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/fc9e1a067947ae34df65aac949c4cd9f.jpg"" /><p>Good morning, Quartz readers!<br /></p><p><a href=""https://qz.com/emails/daily-brief/1851183984/electric-trucks-don-t-have-that-spark"">Read more...</a></p>","2024-01-22 16:25:00","https://qz.com/emails/daily-brief/1851183984/electric-trucks-don-t-have-that-spark","Others"
"1851184898","It's expensive to replace humans with AI, MIT says","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/c2039d50f7f7c17c675f0e466ead800c.jpg"" /><p>Fears of robots taking over people’s jobs have been a recurring theme <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/1681832/the-history-of-the-future-of-work#:~:text=Today%20many%20worry%20that%20strides,supposedly%20denied%20a%20patent%20to"" rel=""noopener noreferrer"" target=""_blank"">for centuries</a>, and with recent advancements in AI, the <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.bbc.com/worklife/article/20230418-ai-anxiety-artificial-intelligence-replace-jobs"" rel=""noopener noreferrer"" target=""_blank"">anxiety has resurfaced</a>. But fear not, humans! A <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://www.bloomberg.com/news/articles/2024-01-22/humans-still-cheaper-than-ai-in-vast-majority-of-jobs-mit-finds?sref=P6Q0mxvj"" rel=""noopener noreferrer"" target=""_blank"">new study </a>from the Massachusetts Institute of Technology (MIT) offers a reassuring perspective: most jobs are currently too expensive to automate…</p><p><a href=""https://qz.com/mit-research-jobs-ai-computer-vision-high-cost-1851184898"">Read more...</a></p>","2024-01-23 03:16:00","https://qz.com/mit-research-jobs-ai-computer-vision-high-cost-1851184898","Others"
"1851185323","Baby boomers are hoarding houses and leaving a laundry list of big fixes for younger buyers","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/e252c1d7433405034c8188c5ef003707.jpg"" /><p>The housing market is <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/429559/millennials-cant-afford-to-buy-houses-even-though-we-really-need-them-to"" rel=""noopener noreferrer"" target=""_blank"">tough today for young Americans</a>. Prices are high. Interest rates are high. The savings needed for a deposit are getting eaten up by inflation, job loss, and childcare. Unfortunately, tomorrow’s housing market isn’t shaping up to be too great, either.<br /></p><p><a href=""https://qz.com/us-baby-boomers-are-hoarding-houses-and-leaving-a-laund-1851185323"">Read more...</a></p>","2024-01-23 00:02:59","https://qz.com/us-baby-boomers-are-hoarding-houses-and-leaving-a-laund-1851185323","Others"
"1851185357","The airlines with the greatest share of Boeing's second troubled model","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/51f5a5a8d7877de0fe89f7b7e1f0d0d0.jpg"" /><p>A second Boeing airplane model is <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/federal-officials-recommend-that-airlines-inspect-door-1851185042"" rel=""noopener noreferrer"" target=""_blank"">officially under scrutiny</a>: the 737-900ER.<br /></p><p><a href=""https://qz.com/alaska-airlines-has-the-greatest-share-of-boeings-secon-1851185357"">Read more...</a></p>","2024-01-23 00:02:09","https://qz.com/alaska-airlines-has-the-greatest-share-of-boeings-secon-1851185357","Others"
"1851185621","Apple's Vision Pro headsets are ""still very niche"" despite a sellout in pre-ordering, expert says","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/51ec0e435b73328a44dfe6d2ffe0c32d.jpg"" /><p>Apple sold <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://medium.com/@mingchikuo/vision-pro%E9%A6%96%E9%80%B1%E6%9C%AB%E9%A0%90%E8%B3%BC%E6%AA%A2%E8%A6%96-%E7%AC%A6%E5%90%88%E9%A0%90%E6%9C%9F%E4%BD%86%E9%9A%B1%E6%86%82%E6%B5%AE%E7%8F%BE-vision-pros-first-weekend-pre-order-review-expectations-in-line-0450c1effe66"" rel=""noopener noreferrer"" target=""_blank"">between 160,000 and 180,000 Visio Pro headsets</a> over the weekend during pre-orders, according to analyst Ming-Chi Kuo of TF International Securities, who’s written extensively about the product on Medium. But the mixed-reality device won’t be super popular with the general public anytime soon, he indicated.<br /></p><p><a href=""https://qz.com/apples-vision-pro-headsets-are-still-very-niche-despi-1851185621"">Read more...</a></p>","2024-01-23 00:13:00","https://qz.com/apples-vision-pro-headsets-are-still-very-niche-despi-1851185621","Others"
"1851186217","ExxonMobil is suing its own shareholders over a proposal aimed at reducing emissions","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/fd8ce750e7303f00b1535a0c2ff4461f.jpg"" /><p>The Earth is <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/hottest-days-month-ever-recorded-july-2023-1850685494"" rel=""noopener noreferrer"" target=""_blank"">heating up</a>. No doubt. And <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://qz.com/ipcc-report-climate-change-solutions-1850243551"" rel=""noopener noreferrer"" target=""_blank"">one of the chief reasons</a> the Earth is heating up is the consumption of oil and natural gas to power and produce things. Naturally. It makes sense, then, that a pair of activist investor groups would suggest that ExxonMobil Corp., the world’s largest privately owned oil company,…</p><p><a href=""https://qz.com/exxonmobil-is-suing-its-own-shareholders-over-a-proposa-1851186217"">Read more...</a></p>","2024-01-23 02:03:00","https://qz.com/exxonmobil-is-suing-its-own-shareholders-over-a-proposa-1851186217","Natural Disasters"
"1851186374","Millions live near US railways shipping the toxic chemical that contaminated East Palestine, Ohio","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/c1603ce6c5d0819314bd810ac7ffe889.jpg"" /><p>The toxic, flammable gas that notoriously spilled into the town of East Palestine, Ohio, last year still rides on rail lines through eight major US cities. In fact, as much as <a class=""sc-1out364-0 dPMosf sc-145m8ut-0 lcFFec js_link"" href=""https://toxicfreefuture.org/press-room/new-research-reveals-up-to-36-million-pounds-of-toxic-chemical-vinyl-chloride-are-transported-across-north-american-railways-at-any-moment-putting-millions-at-risk/"" rel=""noopener noreferrer"" target=""_blank"">36 million pounds</a> of the chemical, vinyl chloride,<strong></strong>are carried on trains through the country at any given time, according to a new study by…</p><p><a href=""https://qz.com/millions-live-near-us-railways-shipping-the-toxic-chemi-1851186374"">Read more...</a></p>","2024-01-23 03:34:00","https://qz.com/millions-live-near-us-railways-shipping-the-toxic-chemi-1851186374","Others"
"1851186408","1.8 billion reasons why Wall Street loves the fashion world's favorite hiking sneakers","<img class=""type:primaryImage"" src=""https://i.kinja-img.com/image/upload/c_fit,q_80,w_636/600b3f8558298e0749800591909eda28.jpg"" /><p>Back in 2016, hiking shoe specialist Salomon was set to destroy the molds for its XT-6 sneaker. The model had debuted four years earlier and was getting cycled out. But Jean-Philippe Lalonde, a special projects manager tasked with breaking the company into the fashion world, told the production department to pump the…</p><p><a href=""https://qz.com/1-8-billion-reasons-why-wall-street-loves-the-fashion-w-1851186408"">Read more...</a></p>","2024-01-23 03:51:00","https://qz.com/1-8-billion-reasons-why-wall-street-loves-the-fashion-w-1851186408","Others"
